846.77,0.,0.,0.,177066,437,0.,0.
1037.843,0.,0.,0.,24799,185,0.,0.
1238.288,0.,0.,0.,114535,347,0.,0.
1360.212,0.,0.,0.,7094,103,0.,0.
1771.357,0.,0.,0.,23266,163,0.,0.
2015.215,0.,0.,0.,4273,72,0.,0.
2034.791,0.,0.,0.,10991,110,0.,0.
2113.135,0.,0.,0.,446,37,0.,0.
2212.944,0.,0.,0.,943,46,0.,0.
2598.5,0.,0.,0.,20479,148,0.,0.
3009.645,0.,0.,0.,1138,43,0.,0.
3202.029,0.,0.,0.,3483,61,0.,0.
3253.503,0.,0.,0.,8135,91,0.,0.
3273.079,0.,0.,0.,1884,45,0.,0.
3451.232,0.,0.,0.,890,31,0.,0.
3548.05,0.,0.,0.,149,14,0.,0.
