//              Energy             dEnergy          Efficiency         dEfficiency
             787.743               0.005               92418             3430.87
              846.77               0.002              111021               35.41
             977.372               0.005              147364             635.021
             1037.84               0.004              161881             126.174
             1140.37               0.006              199348             5931.82
              1175.1               0.004              189956             466.045
             1238.29               0.003              199552             56.1504
              1335.4               0.003              210327             3248.98
             1360.21               0.004              212151              254.55
             1442.75               0.006              226072             2888.89
             1462.32               0.006              220311             5459.46
             1640.47               0.005              233685             8522.73
             1771.36               0.004              233987             130.545
             1810.76               0.004              238427             1035.94
             1963.74               0.008              235610             944.837
             2015.21               0.005              233763             302.187
             2034.79               0.005              232537              179.83
             2113.14               0.005              233782              1363.4
             2212.94               0.004              231021             1157.22
             2276.13               0.004              233712             3669.49
             2523.09               0.011              223492             6050.85
              2598.5               0.004              215359             114.959
             3009.64               0.004              206041             586.307
             3202.03               0.008              189029             253.504
              3253.5               0.004              186621             155.903
             3273.08               0.004              185460             327.651
             3451.23               0.004              178368             444.211
             3548.05               0.006              173753             1012.27
              3600.8               0.004              179281             4670.66
             3611.53               0.003              175349             7441.86
