1771.32641,0.00369,3.67220,0.00788,294845,570,1.7473,0.0161
1175.0681,0.0116,3.2880,0.0281,48281,310,1.5817,0.0780
977.4155,0.0184,2.9006,0.0451,29457,387,1.285,0.112
1360.19726,0.00636,3.4292,0.0141,89327,337,1.6422,0.0324
1238.27942,0.00149,3.36237,0.00312,1409230,1232,1.79199,0.00898
3253.53873,0.00800,4.5309,0.0130,107774,331,1.7643,0.0185
846.78710,0.00125,3.10870,0.00269,2098347,1630,1.68130,0.00933
2034.75073,0.00549,3.8041,0.0102,141163,388,1.7151,0.0197
2015.16738,0.00911,3.8041,0.0102,55389,254,1.7051,0.0315
2598.48246,0.00527,4.1563,0.0115,269940,585,1.7509,0.0195
3202.0783,0.0120,4.5309,0.0130,44136,216,1.8151,0.0276
3273.1050,0.0152,4.5309,0.0130,25316,163,1.8742,0.0354
// NEXT DETECTOR
846.78449 0.00118 3.11969 0.00254 2099732 1543 
977.4206 0.0220 2.9830 0.0549 31325 419  
1175.0666 0.0111 3.2979 0.0267 48371 295 
1238.27986 0.00148 3.35966 0.00307 1411443 1219 
1360.19761 0.00633 3.4320 0.0140 89421  335 
1771.32673 0.00373 3.66891 0.00802 294793 568 
2015.1704 0.0104 3.8030 0.0110 55543 286 
2034.75310 0.00567 3.8030 0.0110 141451 400 
2598.47943 0.00474 4.14840 0.00944 269662 528 
3202.1033 0.0121 4.5463 0.0131 44889 217 
3253.54638 0.00806 4.5463 0.0131 108369 331 
3273.1207 0.0155 4.5463 0.0131 25624 163
