846.78449 0.00118 3.11969 0.00254 2099732 1543 
977.4206 0.0220 2.9830 0.0549 31325 419  
1175.0666 0.0111 3.2979 0.0267 48371 295 
1238.27986 0.00148 3.35966 0.00307 1411443 1219 
1360.19761 0.00633 3.4320 0.0140 89421  335 
1771.32673 0.00373 3.66891 0.00802 294793 568 
2015.1704 0.0104 3.8030 0.0110 55543 286 
2034.75310 0.00567 3.8030 0.0110 141451 400 
2598.47943 0.00474 4.14840 0.00944 269662 528 
3202.1033 0.0121 4.5463 0.0131 44889 217 
3253.54638 0.00806 4.5463 0.0131 108369 331 
3273.1207 0.0155 4.5463 0.0131 25624 163

