63.434 0.005 0.022 0.003
411.145 0.004 0.024 0.003
486.55 0.011 0.054 0.002
655.003 0.005 0.043 0.004
674.57 0.005 0.024 0.003
733.514 0.004 0.191 0.003
787.743 0.005 0.311 0.003
846.77 0.002 100 0
852.732 0.004 0.049 0.003
896.51 0.006 0.073 0.003
977.372 0.005 1.422 0.006
996.948 0.005 0.111 0.004
1037.843 0.004 14.06 0.004
1088.894 0.009 0.055 0.004
1140.368 0.006 0.132 0.003
1159.944 0.006 0.094 0.006
1175.101 0.004 2.253 0.006
1198.888 0.005 0.049 0.005
1238.288 0.003 66.5 0.012
1271.92 0.006 0.02 0.007
1335.4 0.003 0.1225 0.012
1360.212 0.004 4.286 0.012
1442.746 0.006 0.18 0.004
1462.322 0.006 0.074 0.004
1640.475 0.005 0.0616 0.019
1771.357 0.004 15.42 0.006
1810.757 0.004 0.64 0.003
1963.741 0.008 0.707 0.004
2015.215 0.005 3.018 0.012
2034.791 0.005 7.774 0.028
2113.135 0.005 0.377 0.003
2212.944 0.004 0.388 0.004
2276.131 0.004 0.118 0.004
2373.24 0.003 0.08 0.004
2523.09 0.011 0.059 0.004
2598.5 0.004 16.98 0.004
2657.527 0.004 0.019 0.017
3009.645 0.004 1.037 0.013
3202.029 0.008 3.211 0.012
3253.503 0.004 7.928 0.021
3273.079 0.004 1.877 0.002
3369.86 0.011 0.0101 0.007
3451.232 0.004 0.95 0.005
3548.05 0.006 0.1956 0.015
3600.8 0.004 0.0167 0.005
3611.53 0.003 0.0086 0.003
//
